Level2_MCBD;Level2__ZhT_MCBD;Level1_MCBD;Level1__ZhT_MCBD;Level1_code;Level0_MCBD;Level0_ZhT_MCBD
Accounting;會計學;Social Sciences;社會科學;SSC;Humanities and Social Sciences;人文社會科學
Aeronautical Engineering;航空工程;Engineering Sciences;工程科學;ENG;Engineering;工程
Agricultural engineering;農業工程;Engineering Sciences;工程科學;ENG;Engineering;工程
Agriculture and Forestry;農林學;Biological Sciences;生物科學;BSC;Science;科學
Anatomy and Physiology;解剖學與生理學;Health Sciences;健康科學;BSC;Science;科學
Anthropology;人類學;Social Sciences;社會科學;SSC;Humanities and Social Sciences;人文社會科學
Archaeology;考古;Humanities;人文學科;HUM;Humanities and Social Sciences;人文社會科學
Architecture;建築學;Humanities;人文學科;HUM;Humanities and Social Sciences;人文社會科學
Astronomy and Astrophysics;天文學與天體物理學;Physical Sciences;物理科學;PSC;Science;科學
Bacteriology and Microbiology;細菌學與微生物學;Biological Sciences;生物科學;BSC;Science;科學
Biological Chemistry;生物化學;Biological Sciences;生物科學;BSC;Science;科學
Biology and Genetics;生物學;Biological Sciences;生物科學;BSC;Science;科學
Botany and Plant Culture;植物學;Biological Sciences;生物科學;BSC;Science;科學
Business Administration;工商管理學;Social Sciences;社會科學;SSC;Humanities and Social Sciences;人文社會科學
Chemical Engineering;化學工程;Engineering Sciences;工程科學;ENG;Engineering;工程
Chemistry;化學;Physical Sciences;物理科學;PSC;Science;科學
Chinese Classics;中國經典;Chinese Classics;科舉;EXM;Chinese Classics;科舉
Civil Engineering;土木工程;Engineering Sciences;工程科學;ENG;Engineering;工程
Economics;經濟學;Humanities and Social Sciences;人文學科;HUM;Humanities and Social Sciences;人文社會科學
Education;教育;Social Sciences;社會科學;SSC;Humanities and Social Sciences;人文社會科學
Electrical Engineering;電氣工程;Engineering Sciences;工程科學;ENG;Engineering;工程
Engineering;工程學;Engineering Sciences;工程科學;ENG;Engineering;工程
