DocId;text
1905-2-1-66;十八 日▲留日湖北學 生電致鄂督張之 洞請堅持鐵路廢約之 議△閩省大 吏因土捐收數無 多允鐵良合辦土膏統捐之議 
1905-2-5-64;二十七日。△雲南留日學生電請外務部峻拒法人要求在蒙自等處設立民政廳事。 
1905-2-7-67;京師 僧人覺先曾遊日本徧覽彼國佛敎徒所設各種學校回華後因至京師具禀學務處請設中國佛敎學務公所幷集款開辦學校及工藝院等事當奉學務處批示略云該僧覺先知我國佛敎之衰皆由僧人無學洵爲知本之論該僧等擬於京師設立中國佛敎總公所推諸各省由各寺住持公選有德僧人興辦學校事務志願宏大殊堪嘉許據擬簡章各條於設立學校之外並設立貧民工藝院如從此著力尤能造福地方立見寔效惟辦事必臻妥善周密方能逐漸推行應將詳細章程妥擬呈閱所有選派監督一節俟辦有端緖再行禀候酌奪云云
1905-2-9-37;雲南 滇省留日學生袁君樹五糾合同志在省城倡建敎育學社社中設一報舘中分圖書局派報所刷印局鑄版所製紙廠儀器舘等部其辦法特仿日本株式會社已在東京訂定章程招集股份又擬另捐建一學堂採日本私立十大學分級敎授之良法組織多級中分師範學實業學中學小學女學幼稚園等部 騰越廳屬與緬甸接壤之南甸土司刁君化南擬自籌款項創辦武備學堂及蒙養各學堂以造就人才而爲保邊計云
1906-3-11-56;二十八日 △山西留日學生李培仁憤福公司攘奪晉省礦權。蹈海死。
1906-3-3-17;江蘇 ○歸國留日學生於上海設立 中國公學分 高等普通師範理化四科
1906-3-9-58;十一日。△雲南留日學生電禀政府。請撤換滇督丁振鐸。以救滇危。
1908-5-1-42;京師○留日學生熊君範輿等議於京師開辦中央日報一切章程均已組織完密又宗室恆鈞君等組織一北京大同 日報以發表政見討論時事促憲政之實行謀國民之幸福爲宗旨卽與現刋大同月報合同組織先在京師發刋容再分設他處又楊君子奇聯合同志刋行譯報一種專譯各國報紙以期閱者於五洲時勢一目瞭然免致囿於一隅之見日新學堂經理人陳君組織之日新畫報已禀准總廳査核立案又有某君創辦經濟選報一種亦已於丁未九月二十五日出版直隸
1908-5-11-1;十五日　唐紹怡自日本起程赴美　紹怡羈日久。傳聞於中日在滿韓各交涉。頗有所商榷。然殊未定。其可吿成功於政府者。封禁留學生數種報紙而已。紹怡甫行。而日本二六新聞。卽發現美日協約四條。以扶持中國現狀爲宗旨。據言此約久已商定。俟新總統一承認始發表。又聞政府得美日共盟扶持中國消息。電駐日胡使問其詳。胡使覆言不確。美日交涉。中國使臣何以能斷言不確。以此等大有關係之條約。日本報紙豈肯憑臆造謠。自毀面目。紹怡使美。外間幾有中美協約之風聞。豈知大功吿成正在留日數學生之報紙直至十一月朔。紹怡始有行抵舊金山之電。茲錄二六新聞所載如下。第一條日本國皇帝陛下政府及北美合衆國政府因鞏固兩國之友好且消除將來兩國誤解之原因訂結協約如左。第二條日本國政府及合衆國政府保全中國之獨立及其領土幷於中國之各國商業人民互表同情尊重平等之待遇因現在各國所執之一切平和手段互約維持現狀之永遠繼續及擁護其主義之確立第三條日本國政府及合衆國政府。於他一方人民新於他一方之政府領土內從事勞動者。恐阻隔日美兩國之友好關係及將來誤解之原因欲其互相一致故關於將來是等條件另訂別約而約兩國相互政府之領土內 不送已國勞動者之事  第四條右協約爲證。由兩國政府委正當之員記名簽押。日本大使高平小五郞　印 美國外務卿羅脫　印右記協約之交涉。原始於本年初夏。而定於近日。但因與列國攸關。故未曾發表。今記其協約成立之次第。蓋駐華盛頓之日本大使高平氏前遵小村外務大臣之電訓。新訂日美之關係。値日本大博覽會延期。日本因表感謝美國之情。而造成日美協約之素質者則在西厯八月下旬美大總統羅斯福氏旣表箇人贊同之意然尙有一部分之美人。未解日本之意見。加之美國選舉大統領時。競爭異常激烈亦致日美關係問題束之高閣荏苒至今。其間若紐約黑刺爾德報章。懷有他種之目的而唱中美聯盟之說。太平洋沿岸之美國人。和之者甚多。以致排日之熱復熾。其影響。以致北京政府及中日關係而有疎隔之虞。後至新任伊集院中國公使赴任之前。對於此事。深懷憂慮。故待日本外相之意見明瞭。始克赴任。而中美同盟之說。亦漸次閒冷。茲美大總統選舉已定。高平大使遂復提起前此協約之議次期大總統就任日美必須結一協約。高平大使數日前特致長電於日本外務省小村外相。遂與伊藤公協議此事。當可遂行。惟是目下當局者。則似尙未公認此協約之成立云。
1908-5-3-37;京師○學部以留日官費學生常有私自轉學之事殊於學課有礙特電吿駐日留學生總監督嚴行禁止嗣後如有官費學生未及畢業私自轉入他項學堂者卽將該生官費停止其未經轉學而始勤終惰者亦卽開除官費以杜濫竽而重學務河南 ○ 江蘇○蘇省留日學生陸君大銓禀請江督端午帥給予官費改送美洲游學當由午帥札飭甯提學司詳加考驗頗爲合格因卽准如所請並飭蘇藩照章籌費解交甯學司匯給湖北
1909-6-1-10;學部咨復出使日本大臣嚴定留日學生畢業後考試資格文（戊十二法令）
1909-6-1-2;十二月初三日。憲政編査館收閩浙總督電云。憲政編査館鈞鑒。據福建諮議局籌辦處禀稱。中學堂同等程度。如法政講習所。師範簡易科。留日法政師範速成科。各畢業生。是否有選舉權。又寄居之同府異縣異府異縣舉貢生員及職官。若歸本籍投票。路遠不便。必多放棄選舉權。可否就其現住所之投票區投票。請示飭遵等因。理合電請核示電覆。壽。東。初五日。憲政編査館覆閩浙總督電云。福州制台鑒。東電悉。師範簡易科。如係照學部定章二年以上畢業。得有文憑者。可視爲中學同等程度。其法政講習所及留日法政師範速成科。如係一年半畢業者。亦可照辦。至選舉旣已分區。則選舉人自應各歸本籍投票。其願附入寄居之區投票者。應具備寄居人資格。方准投票。此項本館於上月初八日覆浙撫來電。業經聲明。登載官報在案。卽希査照飭遵。此覆。憲政編査館。歌。以上論學業資格。已見前期所載浙江山西等往復電。其論籍貫資格。則方在館臣護前之時。今已作廢。故此電略無足訓矣至消極資格。有各省皆已剔除。而浙省獨主張有效者。後因疑致問。得復如左。
