"","token","tok_length","n"
"1","㛪",1,1
"2","䕫",1,2
"3","丁",1,26
"4","丁壯",2,1
"5","丁字形",3,1
"6","丁未",2,15
"7","丁目",2,1
"8","七",1,240
"9","七七",2,7
"10","七三",2,4
"11","七十",2,28
"12","七千",2,16
"13","七原",2,1
"14","七年",2,3
"15","七日",2,10
"16","七月",2,38
"17","七條",2,1
"18","七百",2,29
"19","七百萬",3,1
"20","七萬",2,2
"21","七點",2,1
"22","万",1,1
"23","丈",1,77
"24","丈夫",2,2
"25","三",1,856
"26","三七",2,4
"27","三九",2,4
"28","三五",2,9
"29","三代",2,2
"30","三元",2,1
"31","三八",2,2
"32","三六",2,7
"33","三十",2,117
"34","三十五",3,5
"35","三十日",3,9
"36","三千",2,22
"37","三千五百",4,3
"38","三合",2,2
"39","三合會",3,3
"40","三品",2,1
"41","三國",2,8
"42","三國志",3,1
"43","三層樓",3,1
"44","三峽",2,1
"45","三年",2,5
"46","三日",2,6
"47","三昧",2,1
"48","三月",2,45
"49","三椏",2,1
"50","三民主義",4,2
"51","三江",2,2
"52","三浦",2,1
"53","三浦半島",4,1
"54","三百",2,50
"55","三百六十",4,3
"56","三禮",2,1
"57","三秋",2,5
"58","三等",2,2
"59","三綱",2,1
"60","三脚",2,1
"61","三菱",2,3
"62","三萬",2,8
"63","三角",2,4
"64","三讀會",3,3
"65","三越",2,1
"66","三點",2,1
"67","上",1,717
"68","上下",2,6
"69","上乘",2,2
"70","上位",2,1
"71","上來",2,1
"72","上列",2,3
"73","上午",2,4
"74","上半",2,5
"75","上古",2,2
"76","上堂",2,1
"77","上奏",2,2
"78","上層",2,2
"79","上旬",2,1
"80","上村",2,1
"81","上棟",2,1
"82","上流",2,1
"83","上海",2,104
"84","上海市",3,1
"85","上游",2,3
"86","上演",2,1
"87","上田",2,2
"88","上船",2,2
"89","上萬",2,1
"90","上課",2,1
"91","上路",2,1
"92","上述",2,14
"93","上野",2,3
"94","上野公園",4,3
"95","上面",2,17
"96","下",1,390
"97","下令",2,6
"98","下列",2,8
"99","下劣",2,1
"100","下午",2,10
"101","下半",2,1
"102","下去",2,3
"103","下品",2,1
"104","下垂",2,1
"105","下宿",2,1
"106","下層",2,4
"107","下手",2,6
"108","下旬",2,4
"109","下榻",2,1
"110","下次",2,1
"111","下水",2,1
"112","下流",2,3
"113","下游",2,2
"114","下田",2,4
"115","下級",2,1
"116","下谷",2,3
"117","下賤",2,1
"118","下述",2,1
"119","下院",2,3
"120","下面",2,6
"121","下體",2,1
"122","不",1,3371
"123","不久",2,21
"124","不但",2,42
"125","不便",2,4
"126","不僅",2,17
"127","不免",2,39
"128","不再",2,1
"129","不准",2,1
"130","不利",2,2
"131","不動產",3,6
"132","不可",2,1
"133","不可思議",4,1
"134","不同",2,16
"135","不啻",2,11
"136","不堪",2,5
"137","不如",2,10
"138","不妨",2,7
"139","不安",2,5
"140","不定",2,1
"141","不少",2,8
"142","不常",2,1
"143","不平",2,4
"144","不幸",2,7
"145","不得",2,2
"146","不得已",3,2
"147","不忍",2,1
"148","不惜",2,4
"149","不惟",2,2
"150","不意",2,1
"151","不敢",2,1
"152","不斷",2,6
"153","不是",2,1
"154","不朽",2,1
"155","不法",2,3
"156","不測",2,2
"157","不滿",2,2
"158","不然",2,3
"159","不獨",2,5
"160","不知",2,9
"161","不禁",2,4
"162","不管",2,2
"163","不肖",2,3
"164","不能",2,7
"165","不良",2,2
"166","不覺",2,1
"167","不論",2,6
"168","不軌",2,1
"169","不過",2,125
"170","不難",2,2
"171","与",1,1
"172","丑",1,4
"173","且",1,252
"174","丕",1,2
"175","世",1,63
"176","世上",2,1
"177","世人",2,6
"178","世代",2,8
"179","世俗",2,1
"180","世外",2,1
"181","世家",2,2
"182","世界",2,155
"183","世界史",3,1
"184","世紀",2,11
"185","世襲",2,2
"186","世道",2,3
"187","世間",2,2
"188","丘",1,2
"189","丙",1,17
"190","丙午",2,31
"191","丙國",2,2
"192","丞",1,17
"193","两",1,1
"194","並",1,265
"195","並不",2,7
"196","並且",2,26
"197","並列",2,1
"198","並未",2,5
"199","並沒",2,1
"200","並立",2,1
"201","並非",2,13
"202","中",1,870
"203","中傷",2,1
"204","中元節",3,2
"205","中公",2,1
"206","中原",2,9
"207","中國",2,1026
"208","中國國民黨",5,4
"209","中堂",2,1
"210","中堅",2,1
"211","中央",2,174
"212","中央公園",4,1
"213","中學",2,48
"214","中小",2,2
"215","中小學",3,4
"216","中山",2,7
"217","中峯",2,1
"218","中州",2,6
"219","中平",2,1
"220","中庸",2,2
"221","中式",2,1
"222","中心",2,23
"223","中心地",3,1
"224","中文",2,9
"225","中日",2,23
"226","中旬",2,3
"227","中村",2,3
"228","中樞",2,2
"229","中止",2,11
"230","中流",2,2
"231","中略",2,2
"232","中立",2,6
"233","中等",2,19
"234","中縣",2,2
"235","中美",2,3
"236","中興",2,3
"237","中華",2,15
"238","中華書局",4,1
"239","中華民國",4,31
"240","中葉",2,1
"241","中藥",2,2
"242","中西",2,1
"243","中越",2,2
"244","中路",2,4
"245","中輟",2,1
"246","中途",2,2
"247","中道",2,1
"248","中部",2,5
"249","中醫",2,1
"250","中里",2,1
"251","中間",2,17
"252","串",1,1
"253","丸",1,3
"254","丸髷",2,1
"255","丹",1,6
"256","丹毒",2,1
"257","丹陽",2,1
"258","丹麥",2,2
"259","主",1,84
"260","主事",2,19
"261","主人",2,5
"262","主人翁",3,2
"263","主任",2,5
"264","主因",2,3
"265","主婦",2,1
"266","主客",2,1
"267","主席",2,15
"268","主幹",2,1
"269","主張",2,103
"270","主意",2,2
"271","主持",2,23
"272","主旨",2,2
"273","主格",2,1
"274","主權",2,23
"275","主產",2,1
"276","主眼",2,4
"277","主筆",2,1
"278","主管",2,19
"279","主義",2,245
"280","主腦",2,1
